id,minor_group_id,code,name
251,81,5141,"Hairdressers, Barbers and Other Related Workers"
252,81,5142,Beauticians and Related Workers
253,81,5149,Wellness Related Workers Not Elsewhere Classified
254,82,5150,Housekeepers and Related Workers
255,83,5170,"Bookmakers, Croupiers and Related Gaming Workers"
256,84,5191,"Astrologers, Fortune-tellers and Related Workers"
257,84,5193,Undertakers and Embalmers
258,84,5194,"Pet Groomers, Animal Keepers and Trainers"
259,84,5195,Driving Instructors
260,84,5199,Personal Service Workers Not Elsewhere Classified
261,85,5211,Hawker/Stall Holders (Excluding Prepared Food or Drinks)
262,85,5212,Hawker/Stall Holders (Prepared Food or Drinks)
263,85,5213,Newsvendors
264,85,5219,Stall Sales Workers Not Elsewhere Classified
265,86,5220,Shop and Store Salespersons
266,87,5230,Cashiers and Ticket Clerks
267,88,5241,Fashion and Other Models
268,88,5242,Sales Demonstrators and Door-to-Door Salespersons
269,88,5244,Contact Centre Salespersons
270,88,5249,Sales Workers Not Elsewhere Classified
271,89,5311,Child Care and Related Workers
272,89,5312,Teacher Aides
273,90,5320,Healthcare Assistants and Other Personal Care Workers
274,91,5411,Fire-Fighting and Rescue Officers
275,91,5412,Police Officers
276,91,5413,Prison Officers
277,91,5414,Security Guards
278,91,5415,Lifeguards
279,91,5419,Protective Services and Related Workers Not Elsewhere Classified
280,92,5900,Service Workers Not Elsewhere Classified
281,93,6111,Vegetable Farm Workers
282,93,6113,Gardeners; Horticultural and Nursery Growers
283,94,6121,Livestock and Dairy Farm Workers
284,94,6122,Poultry Farm Workers
285,95,6190,Agricultural Workers Not Elsewhere Classified
286,96,6221,Aquaculture Workers
287,96,6222,Coastal Waters and Deep Sea Fishery Workers
288,97,7100,Supervisors and General Foremen (Building and Related Trades)
289,98,7112,Bricklayers and Related Workers
290,98,7113,"Stone Cutters, Splitters, Carvers and Stonemasons"
291,98,7114,"Concrete Placers, Concrete Finishers and Related Workers"
292,98,7115,Carpenters and Joiners
293,98,7119,Building Frame and Related Trades Workers Not Elsewhere Classified
294,99,7121,Roofers
295,99,7122,Floor Layers and Tile Setters
296,99,7123,Plasterers
297,99,7124,Insulation Workers
298,99,7125,Glaziers
299,99,7126,"Plumbers, Pipe Fitters and Related Workers"
300,99,7127,Air-Conditioning and Refrigeration Mechanics
301,99,7129,Building Finishers and Related Trades Workers Not Elsewhere Classified
302,100,7131,Building Painters and Related Workers
303,100,7132,"Spray Painters, Varnishers and Other Painters"
304,100,7133,"Building Maintenance Workers, Building Structure Cleaners and Related Workers"
305,101,7200,"Supervisors and General Foremen (Metal, Machinery and Related Trades)"
306,102,7211,Metal Moulders and Coremakers
307,102,7212,Welders and Flame Cutters
308,102,7213,Sheet Metal Workers
309,102,7214,Structural Metal Preparers and Erectors
310,102,7215,Riggers and Cable Splicers
311,103,7221,"Blacksmiths, Hammersmiths and Forging-Press Workers"
312,103,7222,Toolmakers and Related Workers
313,103,7224,"Metal Polishers, Wheel Grinders and Tool Sharpeners"
314,104,7231,Automotive Mechanics
315,104,7232,Aircraft Engine Mechanics and Repairers
316,104,7233,Rolling Stock Mechanics
317,104,7234,Bicycle and Related Repairers
318,104,7235,Marine Engine Mechanics and Repairers
319,104,7239,Other Machinery Mechanics and Repairers
320,105,7300,"Supervisors and General Foremen (Precision, Handicraft, Printing and Related Trades)"
321,106,7311,Precision Instrument Makers and Repairers
322,106,7312,"Musical Instrument Makers, Repairers and Tuners"
323,106,7313,Jewellery and Precious Metal Workers
324,106,7314,Potters and Related Workers
325,106,7315,"Glass Makers, Cutters, Grinders and Finishers"
326,106,7316,"Sign Writers, Decorative Painters, Engravers and Etchers"
327,107,7321,Pre-Press Trades Workers
328,107,7322,Printers
329,108,7400,Supervisors and General Foremen (Electrical and Electronic Trades)
330,109,7411,Electricians
331,109,7412,Electrical Mechanics and Fitters
332,109,7413,Electrical Line Installers and Repairers
333,110,7421,Electronics Mechanics and Servicers
334,110,7422,Information and Communications Technology Installers and Servicers
335,111,7500,"Supervisors and General Foremen (Food Processing, Woodworking, Garment, Leather and Related Trades)."
336,112,7511,"Butchers, Fishmongers and Related Food Preparers"
337,112,7512,"Bakers, Pastry and Confectionery Makers"
338,112,7515,Food and Beverage Tasters and Graders
339,112,7519,Food Processing and Related Trades Workers Not Elsewhere Classified
340,113,7521,Wood Treaters
341,113,7522,Cabinet Makers and Wood Related Trades Workers
342,113,7529,Furniture Makers and Related Trades Workers Not Elsewhere Classified
343,114,7531,Tailors/Dressmakers
344,114,7532,Garment and Related Pattern-Makers and Cutters
345,114,7534,Upholsterers and Related Workers
346,114,7536,Shoemakers and Related Workers
347,114,7539,Garment and Related Trades Workers Not Elsewhere Classified
348,115,7541,Underwater Divers
349,115,7544,Fumigator and Other Pest and Weed Controllers
350,115,7549,Craft and Related Workers Not Elsewhere Classified
351,116,8100,Stationary Plant and Machine Supervisors and General Foremen
352,117,8113,Well Drillers and Borers and Other Mining Related Workers
353,117,8114,Cement and Other Mineral Products Machine Operators
354,118,8121,"Metal Melters, Casters and Rolling Mill Operators"
355,118,8122,Metal Heat Treating Plant Operators
356,118,8123,Metal Drawers and Extruders
357,118,8124,"Metal Finishing, Plating and Coating Machine Operators"
358,118,8125,Machine-Tool Setter-Operators
359,119,8131,Chemical Processing and Products Plant and Machine Operators
360,119,8132,Photographic Products Machine Operators
361,119,8139,"Chemical Processing, Chemical and Photographic Products Plant and Machine Operators Not Elsewhere Classified"
362,120,8141,Rubber Products Machine Operators
363,120,8142,Plastic Products Machine Operators
364,120,8143,Paper and Paperboard Products Machine Operators
365,121,8150,"Textile, Fur and Leather Products Machine Operators"
366,122,8160,Food and Related Products Machine Operators
367,123,8170,Wood Processing and Papermaking Plant Operators
368,124,8181,Glass and Ceramics Plant Operators
369,124,8182,Steam Engine and Boiler Operators
370,124,8183,"Packing, Bottling and Labelling Machine Operators"
371,124,8184,"Printing, Binding and Related Machine Operators"
372,124,8189,Stationary Plant and Machine Operators Not Elsewhere Classified
373,125,8200,Supervisors and General Foremen of Assemblers and Quality Checkers
374,126,8211,Mechanical Machinery Assemblers
375,126,8212,Electrical and Electronic Equipment Assemblers
376,126,8213,Quality Checkers and Testers
377,126,8219,Assemblers Not Elsewhere Classified
378,127,8300,Mobile Machinery Supervisors and General Foremen
379,128,8311,Train Operators
380,128,8312,Railway Brakers and Related Workers
381,129,8321,Motorcycle (Including Motorised Personal Mobility Devices) Delivery Men
382,129,8322,"Car, Taxi, Van and Light Goods Vehicle Drivers"
383,130,8331,Bus and Tram Drivers
384,130,8332,Heavy Truck and Lorry Drivers
385,131,8342,Earth Moving and Related Machinery Operators
386,131,8343,"Crane, Hoist and Related Equipment Operators"
387,131,8344,Lifting Truck Operators
388,131,8349,Mobile Machinery Operators Not Elsewhere Classified
389,132,8350,Ships' Deck Crew and Related Workers
390,133,9100,Cleaning Supervisors
391,134,9112,Cleaners and Helpers in Hotels and Related Establishments
392,134,9113,"Cleaners in Offices, Commercial and Industrial Establishments"
393,134,9115,Cleaners in Food and Beverage Establishments
394,134,9116,Cleaners in Residential and Open Areas
395,135,9121,Hand Launderers and Pressers
396,135,9122,Vehicle Cleaners
397,135,9123,Window Cleaners
398,135,9129,Cleaning Workers Not Elsewhere Classified
399,136,9130,Domestic Helpers and Cleaners
400,137,9214,"Park, Garden and Landscape Maintenance Workers"
401,137,9129,"Agricultural, Fishery Labourers and Related Workers Not Elsewhere Classified"
402,138,9310,Civil Engineering and Building Construction Labourers
403,139,9320,Manufacturing Labourers and Related Workers
404,140,9331,Hand and Pedal Vehicle Drivers
405,140,9333,Material and Freight Handling Workers
406,141,9410,Food Preparation and Kitchen Assistants
407,142,9600,"Waste Collection, Recycling, and Material Recovery Supervisors"
408,143,9611,"Waste Collection, Recycling and Material Recovery Workers"
409,144,9621,Porters and Related Workers
410,144,9625,Attendants
411,144,9626,Watchmen and Related Workers
412,144,9627,Concierge and Related Workers
413,144,9629,Elementary Workers Not Elsewhere Classified
